account_length,number_vmail_messages,total_day_charge,total_eve_charge,total_night_charge,total_intl_charge,number_customer_service_calls,churn
99,0,45.46529103,16.35876904,12.23909241,2.440625893,2,1
99,0,37.81,15.79,10.7,3.24,2,0
124,0,20.45924414,13.60787243,8.761792256,2.75680045,2,1
86,0,24.60078723,14.9072509,8.049048151,2.478242356,5,1
146,0,22.61,22.34,9.64,3.02,1,0
107,32,22.81,18.01,7.54,2.21,1,0
65,19,44.03,28.25,5.85,2.03,1,0
77,42,17.9132275,20.1363178,9.172082905,3.203287275,0,1
120,0,30.12,22.98,10.42,3.78,2,0
149,0,26.52,4.76,7.35,2.4,0,0
56,24,20.69,15.64,12,3.43,1,0
149,0,25.86,13.97,6.43,2.05,0,0
171,37,31.50768195,14.15189959,7.20901625,3.378603283,4,1
102,25,23.36,15.02,8.47,2.75,2,0
114,32,21.28,15.11,10.46,3.48,1,0
86,0,21.81,16.75,6.23,3.29,7,1
151,0,37.06,9.72,12.11,3.35,0,1
77,0,41.68,21.6,10.77,2.03,0,1
189,0,38.73,14.41,9.05,1.51,3,0
186,19,19.8610048,9.769186706,9.312667265,3.246979056,4,1
134,33,40.72137256,18.79546325,8.598771468,1.994783834,1,1
21,0,45.37645042,17.07699781,8.749671565,3.154494213,2,1
108,0,26.21,9.55,11.09,4.16,4,1
123,0,48.08302202,20.93649393,11.53279163,2.78039247,3,1
115,0,44.23442503,21.7188485,10.10260343,2.388364009,1,1
137,0,24.57,14.22,7.88,1.65,5,1
110,0,32.74,15.21,9.66,2.54,1,0
136,0,42.34421765,22.73802563,6.709824943,3.632768451,0,1
78,0,28.61,18.8,10.85,3.38,1,0
124,37,27.4,17.36,10.42,2.4,1,0
94,0,23.65,20.22,10.22,3.08,1,0
77,32,34.15150045,18.57563254,5.459850584,2.951554659,2,1
80,30,31.31,14.24,9.58,2.7,0,0
72,0,48.30698987,25.36541356,10.62435203,2.802867649,3,1
127,29,27.33360949,14.1113192,6.927681431,3.463072572,3,1
63,32,35.1981184,19.58065766,8.979090241,3.864713186,0,1
46,0,21.43945301,15.13648683,6.790372642,2.707689315,1,1
107,0,44.29,8.7,5.84,2.65,1,0
108,25,29.02,9.34,7.46,2.35,3,0
68,0,36.36,22.14,10.52,2.27,1,1
103,35,18.79,17.71,3.93,3.75,4,1
